Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK
,,,,714VP001,714VP002,714VP003,714VP004,714VP007,714VP008,714VP009,714VP017,714VP018,714VP019,714VP023,714VP024,714VP037,714VP038,714VP303,714VP304,714VP306
,,,,DIMSLS,°C,DIMSLS,DIMSLS,DIMSLS,DIMSLS,cm,DIMSLS,DIMSLS,/m,mS,DIMSLS,mS,DIMSLS,m/s,gradn,hPa
2018005572,23-1-2018 11:27,WALCRN2,Available,#N/B,5.46,0,0,0,7.98,-350,0,0,-999,3060,31.2,9.33,91.1,9.6,192,1020
2018005573,13-2-2018 16:12,WALCRN2,Available,-999,4.8,0,0,0,8.02,-350,0,0,-999,3020,31.4,9.34,89.6,16.4,180,1000
2018005574,15-3-2018 7:28,WALCRN2,Available,#N/B,4.14,0,0,0,7.13,-350,0,0,-999,2950,31.3,10.3,97.1,12,326,992
2018005575,18-4-2018 22:14,WALCRN2,Available,#N/B,9.17,0,0,0,8.56,-350,0,0,-999,3420,31.7,10.9,121,5.8,136,1030
2018005576,16-5-2018 10:52,WALCRN2,Available,-999,12.9,-999,-999,-999,8.45,-350,-999,-999,-999,3750,31.8,8.71,102,4,360,1030
2018005577,11-6-2018 0:00,WALCRN2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005578,16-7-2018 0:00,WALCRN2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005579,13-8-2018 0:00,WALCRN2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005580,10-9-2018 0:00,WALCRN2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005581,15-10-2018 0:00,WALCRN2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005582,12-11-2018 0:00,WALCRN2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005583,10-12-2018 0:00,WALCRN2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005584,23-1-2018 9:55,WALCRN20,Available,#N/B,6.3,0,0,0,8.01,-350,0,0,-999,#N/B,33.6,9.04,91.4,12.3,201,1020
2018005585,13-2-2018 17:26,WALCRN20,Available,#N/B,6,0,0,0,8.06,-350,0,0,-999,#N/B,33.1,9.02,90.1,10,140,1000
2018005586,15-3-2018 6:02,WALCRN20,Available,#N/B,4.06,0,0,0,8.05,-350,0,0,-999,#N/B,33.1,9.01,90.1,12.6,232,992
2018005587,18-4-2018 22:25,WALCRN20,Available,#N/B,8.37,0,0,0,8.54,-350,0,0,-999,#N/B,32.8,10.7,116,8.5,270,116
2018005588,16-5-2018 9:59,WALCRN20,Available,#N/B,12.5,-999,-999,-999,8.42,-350,-999,-999,-999,#N/B,32.1,9.48,108,5,360,1030
2018005589,11-6-2018 0:00,WALCRN20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005590,16-7-2018 0:00,WALCRN20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005591,13-8-2018 0:00,WALCRN20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
