Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK,Cl,SO4,NO2 N,NO3 N,NH4 N,PO4 P,DOC,SiO2 Si
,,,,714VP001,714VP002,714VP003,714VP004,714VP007,714VP008,714VP009,714VP017,714VP018,714VP019,714VP023,714VP024,714VP037,714VP038,714VP303,714VP304,714VP306,114MB405,114MB412,114MB101,114MB116,114MB102,114MB103,114MB049,114MB104
,,,,DIMSLS,°C,DIMSLS,DIMSLS,DIMSLS,DIMSLS,cm,DIMSLS,DIMSLS,/m,mS,DIMSLS,mS,DIMSLS,m/s,gradn,hPa,mg/L,mg/L,mg/L,mg/L,mg/L,ug/l,mg/L,mg/L
2018005572,23-1-2018 11:27,WALCRN2,Authorised,#N/B,5.46,0,0,0,7.98,-350,0,0,-999,3056,31.23,9.33,91.06,10,192,1018,18271,2544,0.0046,0.60,0.0579,30.6,1.57,0.662
2018005573,13-2-2018 16:12,WALCRN2,Authorised,-999,4.8,0,0,0,8.02,-350,0,0,-999,3017,31.45,9.34,89.64,16.4,180,1004,14281,1339,0.0055,0.68,0.0374,33.3,1.59,0.651
2018005574,15-3-2018 7:28,WALCRN2,Authorised,#N/B,4.14,0,0,0,7.13,-350,0,0,-999,2954,31.3,10.27,97.1,12,326,991.9,18086,2292,0.0050,0.47,0.0674,9.7,1.20,0.273
2018005575,18-4-2018 22:14,WALCRN2,Authorised,#N/B,9.17,0,0,0,8.56,-350,0,0,-999,3417,31.71,10.86,120.9,5.8,136,1026.6,18885,2551,0.0032,0.25,0.0073,3.7,1.48,0.019
2018005576,16-5-2018 10:52,WALCRN2,Authorised,-999,12.86,-999,-999,-999,8.45,-350,-999,-999,-999,3746,31.76,8.71,101.7,4,360,1029,18341,2626,0.0014,0.01,0.0132,4.8,2.17,0.049
2018005577,11-6-2018 16:01,WALCRN2,Authorised,#N/B,15.67,-999,-999,-999,8.15,-350,-999,-999,-999,4011,31.9,7.77,94.99,7.9,60,1010.5,18958,2594,0.0020,0.00,0.0118,7.2,1.47,0.020
2018005578,18-7-2018 17:25,WALCRN2,Authorised,#N/B,19.95,0,0,0,8.2,-350,0,0,-999,4389,31.75,10.06,133.57,2,260,1018.1,18009,2484,0.0038,0.00,0.0152,6.9,1.79,0.029
2018005579,16-8-2018 21:30,WALCRN2,Authorised,-999,20.69,0,0,0,8.06,-350,0,0,-999,4480,31.92,5.86,79,4,192,1013.8,17717,2592,0.0117,0.04,0.0981,27.4,1.79,0.399
2018005580,12-9-2018 11:06,WALCRN2,Available,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,15156,1881,0.0052,0.02,0.0376,13.0,0.94,0.177
2018005581,17-10-2018 10:59,WALCRN2,Available,#N/B,16.48,0,0,0,9.12,-350,0,0,-999,4160,32.55,5.13,63.92,6.2,236,1018.2,20103,2765,0.0037,0.02,0.0284,11.8,1.21,0.097
2018005582,12-11-2018 20:11,WALCRN2,Available,-999,11.18,0,0,0,8.01,-350,0,0,-999,3660,32.41,7.79,91.3,11.6,195,1014.3,14251,2698,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005583,10-12-2018 22:57,WALCRN2,Available,#N/B,8.41,0,0,0,7.8,-350,0,0,-999,3433,32.59,8.53,89.95,14,236,1025,18863,2611,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005584,23-1-2018 9:55,WALCRN20,Authorised,#N/B,6.3,0,0,0,8.01,-350,0,0,-999,#N/B,33.6,9.04,91.39,12.3,201,1017.7,#N/B,#N/B,0.0056,0.32,0.0386,17.6,1.25,0.330
2018005585,13-2-2018 17:26,WALCRN20,Authorised,#N/B,6,0,0,0,8.06,-350,0,0,-999,#N/B,33.12,9.02,90.14,10,140,1004,#N/B,#N/B,0.0082,0.42,0.0186,25.3,1.18,0.379
2018005586,15-3-2018 6:02,WALCRN20,Authorised,#N/B,4.06,0,0,0,8.05,-350,0,0,-999,#N/B,33.12,9.01,90.13,12.6,232,992.1,#N/B,#N/B,0.0041,0.51,0.0171,15.6,1.23,0.330
2018005587,18-4-2018 22:25,WALCRN20,Authorised,#N/B,8.37,0,0,0,8.54,-350,0,0,-999,#N/B,32.84,10.69,116.3,8.5,270,116.3,#N/B,#N/B,0.0029,0.14,0.0045,4.4,1.32,0.044
2018005588,16-5-2018 9:59,WALCRN20,Authorised,#N/B,12.48,-999,-999,-999,8.42,-350,-999,-999,-999,#N/B,32.08,9.48,107.8,5,360,1030,#N/B,#N/B,0.0015,0.01,0.0108,4.0,1.70,0.067
2018005589,11-6-2018 16:48,WALCRN20,Authorised,#N/B,15.24,-999,-999,-999,8.12,-350,-999,-999,-999,#N/B,32.4,7.61,92.86,8.1,60,1011,#N/B,#N/B,0.0010,0.00,0.0069,7.3,1.38,0.013
2018005590,18-7-2018 16:13,WALCRN20,Authorised,#N/B,19.31,0,0,0,8.12,-350,0,0,0.320671,#N/B,32.23,5.14,67.54,2,270,1018.3,#N/B,#N/B,0.0030,0.00,0.0212,6.1,1.55,0.027
2018005591,16-8-2018 22:45,WALCRN20,Authorised,#N/B,20.9,0,0,0,8.17,-350,0,0,-999,#N/B,32.47,6.64,90,3,200,1013.7,#N/B,#N/B,0.0050,0.01,0.0210,11.3,1.55,0.212
2018005592,12-9-2018 9:45,WALCRN20,Available,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,0.0003,0.00,0.0033,8.2,1.33,0.060
2018005593,17-10-2018 9:45,WALCRN20,Available,#N/B,16.2,0,0,0,9.21,-350,0,0,0.29813,#N/B,32.02,6.5,80.32,3.7,246,1017.8,#N/B,#N/B,0.0004,0.00,0.0037,7.7,0.80,0.054
2018005594,12-11-2018 21:21,WALCRN20,Available,#N/B,12.08,0,0,0,8.07,-350,0,0,-999,#N/B,33.01,7.82,93.1,12.9,193,1014.3,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005595,11-12-2018 0:21,WALCRN20,Available,#N/B,8.87,0,0,0,7.83,-350,0,0,-999,#N/B,33.46,8.26,88.45,9.2,228,1024.9,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005596,23-1-2018 6:20,WALCRN70,Authorised,#N/B,8.38,0,0,0,7.98,-350,0,0,-999,#N/B,35.27,8.51,91.2,11.5,251,1016.8,#N/B,#N/B,0.0279,0.11,0.0011,16.3,0.96,0.089
2018005597,13-2-2018 20:29,WALCRN70,Authorised,#N/B,7.8,0,0,0,8.1,-350,0,0,-999,#N/B,35.21,8.51,89.85,13,140,1005.5,#N/B,#N/B,0.0012,0.11,0.0034,13.9,0.98,0.085
2018005598,14-3-2018 20:00,WALCRN70,Authorised,#N/B,6.36,0,0,0,7.26,-350,0,0,-999,#N/B,34.9,9.43,96.25,11.7,309,1000.8,#N/B,#N/B,0.0044,0.10,0.0100,7.2,2.10,0.007
2018005599,19-4-2018 2:21,WALCRN70,Authorised,#N/B,8.46,0,0,0,8.46,-350,0,0,-999,#N/B,35.03,10,113.2,6,357,1025,#N/B,#N/B,0.0007,0.00,0.0011,4.5,2.35,0.008
2018005600,16-5-2018 8:02,WALCRN70,Authorised,#N/B,10.91,-999,-999,-999,8.23,-350,-999,-999,-999,#N/B,34.2,9.86,109,5,10,1029,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,1.24,#N/B
2018005601,11-6-2018 18:48,WALCRN70,Authorised,#N/B,13.25,-999,-999,-999,8.11,-350,-999,-999,-999,#N/B,34.24,8.05,95.25,7.6,60,1011,#N/B,#N/B,0.0007,0.00,0.0042,5.9,1.01,0.015
2018005602,18-7-2018 13:23,WALCRN70,Authorised,#N/B,17.17,0,0,0,8.12,-350,0,0,0.149021,#N/B,34.67,6.39,81.84,4,270,1018.1,#N/B,#N/B,0.0020,0.01,0.0067,7.0,1.24,0.008
2018005603,17-8-2018 2:31,WALCRN70,Authorised,#N/B,19.27,0,0,0,8.12,-350,0,0,-999,#N/B,34.64,6.81,90,4,225,1014.6,#N/B,#N/B,0.0018,0.00,0.0042,6.0,1.05,0.047
2018005604,12-9-2018 6:37,WALCRN70,Available,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,0.0002,0.00,0.0012,7.7,0.87,0.026
2018005605,17-10-2018 6:45,WALCRN70,Available,#N/B,16.79,0,0,0,9.1,-350,0,0,-999,#N/B,35.01,5.64,71.8,6.9,260,1016,#N/B,#N/B,0.0018,0.02,0.0042,5.7,0.44,0.019
2018005606,13-11-2018 0:18,WALCRN70,Available,#N/B,13.9,0,0,0,8.08,-350,0,0,-999,#N/B,35.02,7.8,95.7,13.6,214,1013.1,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005607,11-12-2018 3:51,WALCRN70,Available,#N/B,11.55,0,0,0,7.84,-350,0,0,-999,#N/B,34.95,7.84,88.49,10.9,289,1024.5,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005608,23-1-2018 13:16,SCHOUWN10,Authorised,#N/B,5.87,0,0,0,8.33,-350,0,0,-999,#N/B,32.54,7.62,75.74,9.8,208,1016.7,19496,2653,0.0045,0.45,0.1034,20.1,1.12,0.487
2018005609,13-2-2018 14:14,SCHOUWN10,Authorised,#N/B,5.6,0,0,0,8.03,-350,0,0,0.713,#N/B,32.9,9.15,90.5,16.6,180,1004.9,19200,2686,0.0074,0.42,0.0309,26.8,1.25,0.389
2018005610,15-3-2018 9:05,SCHOUWN10,Authorised,#N/B,3.89,0,0,0,6.98,-350,0,0,0.7579,#N/B,32.17,10.59,100.09,13.2,164,992.4,18321,2550,0.0047,0.34,0.0410,3.9,1.11,0.096
2018005611,18-4-2018 20:18,SCHOUWN10,Authorised,#N/B,7.92,0,0,0,8.36,-350,0,0,-999,#N/B,32.62,10.76,120.3,7.5,107,1026.5,13092,2626,0.0039,0.15,0.0078,5.7,1.37,0.015
2018005612,16-5-2018 12:08,SCHOUWN10,Authorised,#N/B,12.09,-999,-999,-999,8.47,-350,-999,-999,-999,#N/B,32.24,10.06,111.4,4,360,1029,18489,2659,0.0024,0.00,0.0093,6.1,1.63,0.053
2018005613,11-6-2018 15:05,SCHOUWN10,Authorised,#N/B,15.23,-999,-999,-999,8.13,-350,-999,-999,-999,#N/B,32,7.66,93.19,7.1,60,1011.2,18937,2631,0.0014,0.00,0.0083,3.4,1.67,0.016
2018005614,19-7-2018 7:17,SCHOUWN10,Authorised,#N/B,19.17,0,0,0,8.19,-350,0,0,0.4218625,#N/B,32.15,5.24,68.71,4.5,135,1017.9,17838,2511,0.0019,0.02,0.0153,5.1,1.58,0.012
2018005615,16-8-2018 19:50,SCHOUWN10,Authorised,#N/B,21.01,0,0,0,8.16,-350,0,0,-999,#N/B,32.2,6.33,85,5,190,1013.1,16778,2723,0.0029,0.01,0.0293,12.4,1.53,0.159
2018005616,12-9-2018 13:14,SCHOUWN10,Available,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,17241,2321,-0.0004,0.00,0.0012,7.0,0.89,0.039
2018005617,17-10-2018 12:42,SCHOUWN10,Available,#N/B,16.44,0,0,0,9.26,-350,0,0,0.34226,#N/B,33.25,6.1,76.4,6.3,262,1018.5,20298,2790,0.0013,0.00,0.0026,7.5,1.33,0.044
2018005618,12-11-2018 18:24,SCHOUWN10,Available,#N/B,11.6,0,0,0,8.04,-350,0,0,-999,#N/B,32.59,8.21,95.7,8.7,197,1013.4,13250,2669,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005619,10-12-2018 21:35,SCHOUWN10,Available,#N/B,8.52,0,0,0,7.82,-350,0,0,-999,#N/B,32.83,8.51,90.04,17.6,229,1024.5,18532,2633,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
