Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNTT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK,Cl,SO4,NO2 N,NO3 N,NH4 N,PO4 P,DOC,Sili
,,,sample,714VP001,714VP002,714VP003,714VP004,714VP007,714VP008,714VP009,714VP017,714VP018,714VP019,714VP023,714VP024,714VP037,714VP038,714VP303,714VP304,714VP306,,114MB412,114MB101,114MB116,114MB102,114MB103,114MB049,114MB104
,,,,DIMSLS,°C,DIMSLS,DIMSLS,DIMSLS,DIMSLS,cm,DIMSLS,DIMSLS,/m,mS,DIMSLS,mS,DIMSLS,m/s,gradn,hPa,mg/L,mg/L,mg/L,mg/L,mg/L,ug/l,mg/L,mg/L
2018005572,23-1-2018 11:27,WALCRN2,Authorised,#N/B,5.46,0,0,0,7.98,-350,0,0,-999,3056,31.23,9.33,91.06,9.6,192,1018.2,18271.3477,2543.5493,0.0046,0.5958,0.0579,30.6,1.5714,0.6619
2018005573,13-2-2018 16:12,WALCRN2,Authorised,-999,4.8,0,0,0,8.02,-350,0,0,-999,3017,31.45,9.34,89.64,16.4,180,1004,14281.2207,1339.0889,0.0055,0.6761,0.0374,33.3,1.5882,0.651
2018005574,15-3-2018 7:28,WALCRN2,Authorised,#N/B,4.14,0,0,0,7.13,-350,0,0,-999,2954,31.3,10.27,97.1,12,326,991.9,18086.3457,2292.2927,0.005,0.4733,0.0674,9.7,1.1966,0.2727
2018005575,18-4-2018 22:14,WALCRN2,Authorised,#N/B,9.17,0,0,0,8.56,-350,0,0,-999,3417,31.71,10.86,120.9,5.8,136,1026.6,18884.9707,2550.8892,0.0032,0.2477,0.0073,3.7,1.4798,0.0187
2018005576,16-5-2018 10:52,WALCRN2,Authorised,-999,12.86,-999,-999,-999,8.45,-350,-999,-999,-999,3746,31.76,8.71,101.7,4,360,1029,18341.3984,2625.6101,0.0014,0.0062,0.0132,4.8,2.1709,0.0492
2018005577,11-6-2018 16:01,WALCRN2,Authorised,#N/B,15.67,-999,-999,-999,8.15,-350,-999,-999,-999,4011,31.9,7.77,94.99,7.9,60,1010.5,18957.5234,2593.5549,0.002,-0.0011,0.0118,7.2,1.4702,0.0202
2018005578,18-7-2018 17:25,WALCRN2,Authorised,#N/B,19.95,0,0,0,8.2,-350,0,0,-999,4389,31.75,10.06,133.57,2,260,1018.1,18009.3418,2483.6934,0.0038,0.0031,0.0152,6.9,1.7921,0.0292
2018005579,16-8-2018 21:30,WALCRN2,Authorised,-999,20.69,0,0,0,8.06,-350,0,0,-999,4480,31.92,5.86,79,4,192,1013.8,17717.416,2592.0879,0.0117,0.0419,0.0981,27.4,1.7917,0.3991
2018005580,12-9-2018 11:06,WALCRN2,Authorised,#N/B,18.7,0,0,0,8.86,-350,0,0,-999,4345,32.38,6.12,79.44,7.8,21,1020,15155.9102,1881.0181,0.0052,0.0177,0.0376,13,0.9361,0.1772
2018005581,17-10-2018 10:59,WALCRN2,Authorised,#N/B,16.48,0,0,0,9.12,-350,0,0,-999,4160,32.55,5.13,63.92,6.2,236,1018.2,20102.5156,2765.4666,0.0037,0.016,0.0284,11.8,1.2138,0.0966
2018005582,12-11-2018 20:11,WALCRN2,Authorised,-999,11.18,0,0,0,8.01,-350,0,0,-999,3660,32.41,7.79,91.3,11.6,195,1014.3,14251.1699,2697.9829,0.0077,0.0931,0.0851,20.5,1.2603,0.2509
